"","user_id","country","gender","device_type","test_group","converted","total_spent"
"","1033831","USA","F","A","B","Yes","83.8800"
"","1003376","CAN","F","A","B","Yes","67.3600"
"","1010495","USA","F","A","A","Yes","191.3500"
"","1031580","USA","M","I","A","Yes","65.5700"
"","1003663","BRA","unknown","I","A","Yes","164.3600"
"","1047136","MEX","F","I","B","Yes","67.6800"
"","1034005","FRA","unknown","I","B","Yes","31.1043"
"","1008575","USA","F","I","B","Yes","18.8300"
"","1040512","USA","M","I","B","Yes","90.4000"
"","1003831","MEX","F","I","A","Yes","46.8100"
"","1038280","USA","F","A","B","Yes","61.7262"
"","1021450","BRA","M","I","A","Yes","67.3800"
"","1019212","DEU","F","I","A","Yes","110.3500"
"","1035832","USA","F","I","A","Yes","33.8500"
"","1014350","TUR","unknown","I","A","Yes","45.0700"
"","1031053","FRA","M","I","A","Yes","109.6900"
"","1006261","TUR","O","A","B","Yes","81.8300"
"","1037715","USA","F","A","A","Yes","58.3200"
"","1026817","USA","F","A","A","Yes","85.8500"
"","1028514","USA","M","A","A","Yes","38.1900"
"","1026607","BRA","F","A","B","Yes","25.0200"
"","1017347","FRA","F","I","B","Yes","38.1600"
"","1008105","BRA","M","I","A","Yes","121.0200"
"","1000045","USA","F","I","B","Yes","51.5800"
"","1034338","MEX","M","I","B","Yes","47.4200"
"","1006671","unknown","M","A","A","Yes","45.1000"
"","1026744","BRA","F","I","A","Yes","14.1700"
"","1014367","FRA","M","A","B","Yes","138.9200"
"","1020564","MEX","M","I","B","Yes","61.3200"
"","1019672","TUR","M","I","B","Yes","37.5300"
"","1018243","ESP","F","I","A","Yes","68.1100"
"","1016793","TUR","F","A","B","Yes","60.4100"
"","1015657","USA","unknown","I","B","Yes","66.1300"
"","1017817","unknown","O","I","A","Yes","51.7200"
"","1024733","DEU","M","I","B","Yes","65.7300"
"","1017773","DEU","unknown","I","B","Yes","51.8300"
"","1031239","FRA","unknown","A","B","Yes","109.5300"
"","1026967","USA","M","I","B","Yes","7.7400"
